,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
1396,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle dm4,3.5,1.0,1.8073549220576042,0.0
1397,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle dm5,2.5,1.0,1.3219280948873624,0.0
1398,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle dm6,3.0,1.0,1.584962500721156,0.0
1399,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle dp1l,1.5,0.6041548768973366,0.5849625007211562,0.5039246952127796
1400,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle dp1m,2.6666666666666665,1.0,1.4150374992788437,0.0
1401,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle v,2.5,1.0,1.3219280948873624,0.0
1402,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va1d,0.0,0.5676466973466813,-inf,0.5662560655041169
1403,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va1v,0.0,0.3262210670592936,-inf,1.1201800076209953
1404,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va2,5.5,0.5126430486385023,2.4594316186372973,0.6681754876214785
1405,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va3,0.0,0.18920362918624758,-inf,1.664931440802832
1406,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va4,1.3333333333333333,0.37498694029576496,0.41503749927884376,0.9808640794961213
1407,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va5,1.75,0.4747019675867877,0.8073549220576041,0.7450681085276455
1408,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va6,0.0,0.5721503775826502,-inf,0.5583534242821631
1409,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va7l,4.0,1.0,2.0,0.0
1410,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle va7m,2.0,0.5349693081919517,1.0,0.6255459015972403
1411,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vc1,6.0,0.5185575141755305,2.584962500721156,0.6567043333069413
1412,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vc2,3.0,1.0,1.584962500721156,0.0
1413,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vc3l,5.0,1.0,2.321928094887362,0.0
1414,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vc3m,11.0,0.1841317046122775,3.4594316186372973,1.6921039914894354
1415,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vc4,4.0,1.0,2.0,0.0
1416,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vc5,1.6666666666666667,0.4270273791463229,0.7369655941662062,0.8509071480284821
1417,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vl1,1.6666666666666667,0.4270273791463229,0.7369655941662062,0.8509071480284821
1418,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vl2a,0.0,0.5721503775826502,-inf,0.5583534242821631
1419,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vl2p,3.5,1.0,1.8073549220576042,0.0
1420,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm1,7.0,0.6795237883360756,2.807354922057604,0.38636303741494554
1421,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm2,0.6666666666666666,0.10967049971489534,-0.5849625007211563,2.2102748656881186
1422,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm3,3.3333333333333335,1.0,1.7369655941662063,0.0
1423,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm4,1.6666666666666667,0.4270273791463229,0.7369655941662062,0.8509071480284821
1424,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm5d,4.0,1.0,2.0,0.0
1425,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm5v,1.75,0.4747019675867877,0.8073549220576041,0.7450681085276455
1426,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm7d,2.6666666666666665,1.0,1.4150374992788437,0.0
1427,Orco +/+ alpha/beta shuffle vs. Orco +/+ alpha'/beta' shuffle vm7v,1.6666666666666667,0.35972227525964373,0.7369655941662062,1.0224230028706378
1428,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma d,0.7142857142857143,0.2395095015505463,-0.4854268271702417,1.4291621904732281
1429,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma da1,0.07692307692307693,4.9565671837886475e-05,-3.700439718141092,9.912212063887802
1430,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma da2,0.0,0.021373457770545484,-inf,3.8456054178479193
1431,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma da3,9.0,0.04695974420834098,3.169925001442312,3.058464550488609
1432,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma da4l,3.5,0.3077747742870618,1.8073549220576042,1.1783870158186833
1433,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma da4m,3.0,0.4711763152934382,1.584962500721156,0.7525229125654596
1434,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dc1,0.2222222222222222,0.008453359601014671,-2.1699250014423126,4.773191330710497
1435,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dc2,1.0,0.5573140415463362,0.0,0.5846263890550474
1436,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dc3,0.3,0.015730957369520068,-1.7369655941662063,4.152124701111745
1437,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dc4,3.5,0.3077747742870618,1.8073549220576042,1.1783870158186833
1438,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dl1,0.9,0.32972140929186083,-0.15200309344504995,1.1095071953382476
1439,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dl2d,1.3333333333333333,1.0,0.41503749927884376,0.0
1440,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dl2v,2.0,0.7626838160866966,1.0,0.27091172927570584
1441,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dl3,0.0,0.07656845875469373,-inf,2.569570052638847
1442,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dl4,0.0,0.00554454253878545,-inf,5.194941161351278
1443,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dl5,2.6666666666666665,0.3643788942567298,1.4150374992788437,1.0095610344374624
1444,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dm1,1.5714285714285714,1.0,0.6520766965796931,0.0
1445,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dm2,6.0,0.044616611188726646,2.584962500721156,3.109649041119997
1446,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dm3,5.0,0.1252167574585195,2.321928094887362,2.077708983757319
1447,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dm4,2.3333333333333335,0.524682164326883,1.222392421336448,0.6449626010019928
1448,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dm5,0.8333333333333334,0.5284101473517697,-0.2630344058337938,0.6378825025975238
1449,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dm6,0.8571428571428571,0.3895015485260556,-0.22239242133644802,0.9428874380025859
1450,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dp1l,0.75,0.4511742458310706,-0.4150374992788438,0.7959016597024813
1451,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma dp1m,0.8,0.21599244116051342,-0.3219280948873623,1.532511866537551
1452,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma v,0.0,0.07656845875469373,-inf,2.569570052638847
1453,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va1d,0.375,0.05305327285784976,-1.415037499278844,2.9364587219919596
1454,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va1v,0.8333333333333334,0.5284101473517697,-0.2630344058337938,0.6378825025975238
